428)      ,133035,şef staţie comunicaţii prin satelit
429)      ,133036,şef staţie radiorelee
430)      ,133037,şef staţie televiziune
431)      ,133038,şef studio
432)      ,133039,telefonist- şef
433)      ,133040,telegrafist- şef
434)      ,133041,şef oficiu zonal poştă
435)      ,133042,şef oficiu special poştă
436)      ,133043,diriginte oficiu telecomunicaţii
437)      ,133044,şef turn telecomunicaţii
438)      ,133045,şef staţie radiotelegrafie (RTG)
439)      ,133046,şef Centru Naţional de Telecomunicaţii Aeronautice Aviaţie Civilă
440)      ,133047,conducător întreprindere mică - patron (girant) în comunicaţii
441)      ,134201,asistent medical şef
442)      ,134202,"biochimist şef secţie, laborator"
443)      ,134203,"biolog şef secţie, laborator"
444)      ,134204,"chimist şef secţie, laborator"
445)      ,134205,"farmacist şef secţie, laborator"
446)      ,134206,farmacist diriginte
447)      ,134207,laborant medical şef
448)      ,134208,"medic- şef (policlinică, staţie de salvare, centru de recoltare sânge)"
449)      ,134209,"medic şef secţie, laborator"
450)      ,134210,moaşă-şefă
451)      ,134211,oficiant medical şef
452)      ,134212,"psiholog şef secţie, laborator"
453)      ,134213,soră medicală şefă
454)      ,134214,tehnician sanitar şef
455)      ,134401,şef serviciu de reintegrare socială şi supraveghere
456)      ,134402,conducător de întreprindere mică - patron (girant) în sănătate
457)      ,134501,conducător tabără şcolară
458)      ,134502,director unitate de învăţământ
459)      ,134503,"secretar ştiinţific învăţământ, cercetare"
460)      ,134504,şef lectorat
461)      ,134505,şef catedră
462)      ,134506,conducător de întreprindere mică - patron (girant) în învăţământ
463)      ,134507,director palate şi cluburi ale elevilor
464)      ,134508,director club sportiv şcolar
465)      ,134601,şef serviciu/ şef birou asigurări
466)      ,134602,şef serviciu/ şef birou daune
467)      ,134901,şef expoziţii şi târguri
468)      ,134902,şef vamă
469)      ,134903,"inginer- şef întreprinderi de reparaţii obiecte de uz casnic, curăţătorii şi alte servicii pentru populaţie"
470)      ,134904,"şef atelier reparaţii obiecte de uz casnic, curăţătorii şi alte servicii pentru populaţie"
471)      ,134905,şef centru reparaţii
472)      ,134906,"şef centru dezinfecţie, deratizare şi dezinsecţie"
473)      ,134907,coordonator presă
474)      ,134908,librar – şef
475)      ,134909,conducător întreprindere mică - patron (girant) în prestări servicii
476)      ,134910,"redactor- şef presă, editură"
477)      ,134911,"secretar general agenţie presă, editură"
478)      ,134912,secretar general redacţie
479)      ,134913,"şef birou exploatare, coordonare presă"
480)      ,134914,şef birou redacţie
481)      ,134915,şef birou relaţii unităţi presă
482)      ,134916,şef oficiu juridic
483)      ,134917,"şef oficiu, serviciu, secţie, redacţie"
484)      ,134918,producător executiv TV
485)      ,134919,manager servicii private de securitate
486)      ,134920,director departament securitate
487)      ,134921,manager cultural
488)      ,141101,conducător întreprindere mică - patron (girant) în activitatea hotelieră şi restaurante
489)      ,141102,şef complex hotelier
490)      ,141103,şef unitate balneoclimaterică
491)      ,141104,administrator hotel
492)      ,141105,director de hotel
493)      ,141106,director de motel
494)      ,141107,director de hotel pentru tineret
495)      ,141108,director de camping
